"ID VZ","Název VZ","Datum vytvoreni","Datum uzavření smlouvy","Smluvní cena bez dph","Úředni název ""dodavatele","IČO"
T004/16V/00046690,"Praní, čištění, drobné opravy prádla, tkanin, lůžkovin a pracovních oděvů v roce 2017 - smlouva ",2016-12-08 13:56:05.277,2017-01-02 00:00:00,82644.00,,
T004/16V/00047256,"Nákup PHM prostřednictvím odběrových karet v roce 2017",2016-12-13 14:25:25.658,2017-01-02 00:00:00,166612.00,,
T004/16V/00046366,"PS 0228 - Obsluha vodohospodářských zařízení u PS 0228 Boletice, 6440-0228-2016-112",2016-12-06 14:14:38.754,2016-12-30 00:00:00,471999.00,"PRVOK s.r.o.",28128257
T004/16V/00047619,"RS ladění cimbálů",2016-12-16 10:02:58.036,2016-12-30 00:00:00,33057.00,,
T004/16V/00036108,"PS 0014 Servis dieselagregátů objekty PS , Praha 6",2016-10-04 08:07:45.061,2016-12-30 00:00:00,96450.00,"Ing. Jiří Bránský",12843768
T004/16V/00045285,"RD: Zabezpečení služby závodního stravování formou stravovacích poukázek v roce 2017 II.",2016-11-29 10:06:49.891,2016-12-29 00:00:00,1999999.00,,
T004/16V/00042349,"2. část RD (TM) – ""Dodávky zahraničního tisku a periodik",2016-11-08 09:37:23.788,2016-12-29 00:00:00,66683.00,,
T004/16V/00047384,"DP: Zabezpečení smluvního stravování 2016-2017 (leden 2017)",2016-12-14 13:16:34.335,2016-12-29 00:00:00,62173.91,"Jaroslava Štochlová - Restaurace U Štochlů",46820795
T004/16V/00046991,"JN – Stěhování nábytku loděnice ASC DUKLA Praha",2016-12-12 09:38:01.683,2016-12-29 00:00:00,45000.00,"Pavel Hanč",18863931
T004/16V/00046933,"Nákup PHM prostřednictvím odběrových karet v roce 2017",2016-12-10 16:24:46.239,2016-12-29 00:00:00,0.00,,
T004/16V/00048298,"Plnění z RD ev.č. 8/46/34/2016-1373 Doplňky stravy č.1 pro ASC DUKLA výzva k plnění č. 384/2016",2016-12-29 13:26:15.841,2016-12-29 00:00:00,4609.92,"MedPharma, spol. s r.o.",26222752
T004/16V/00048261,"13. DP -  nákup stravovacích poukázek za prosinec 2016",2016-12-29 08:03:56.957,2016-12-29 00:00:00,150000.00,"Sodexo Pass Česká republika a.s.",61860476
